Percentage,Value
0,0
1,2.67
2,2.95
3,3.12
4,3.25
5,3.36
6,3.45
7,3.52
8,3.59
9,3.66
10,3.72
11,3.77
12,3.82
13,3.87
14,3.92
15,3.96
16,4.01
17,4.05
18,4.08
19,4.12
20,4.16
21,4.19
22,4.23
23,4.26
24,4.25
25,4.33
26,4.36
27,4.39
28,4.42
29,4.45
30,4.48
31,4.5
32,4.53
33,4.56
34,4.59
35,4.61
36,4.64
37,4.67
38,4.69
39,4.72
40,4.75
41,4.77
42,4.8
43,4.82
44,4.85
45,4.87
46,4.9
47,4.92
48,4.95
49,4.97
50,5
51,5.03
52,5.05
53,5.08
54,5.1
55,5.13
56,5.15
57,5.18
58,5.2
59,5.23
60,5.25
61,5.28
62,5.31
63,5.33
64,5.36
65,5.39
66,5.41
67,5.44
68,5.47
69,5.5
70,5.52
71,5.55
72,5.58
73,5.61
74,5.64
75,5.67
76,5.71
77,5.74
78,5.77
79,5.81
80,5.84
81,5.88
82,5.92
83,5.95
84,5.99
85,6.04
86,6.08
87,6.13
88,6.18
89,6.23
90,6.28
91,6.34
92,6.41
93,6.48
94,6.55
95,6.64
96,6.75
97,6.88
98,7.05
99,7.33
100,8.95
